,Dataset,Method,Level,Avg. ACD,Std. ACD
103,AustraliaTourism,tsdiff-1.0,M,0.11690453798514981,0.0026687452944882738
104,AustraliaTourism,tsdiff-1.0,F,0.08879575831376539,0.0010328575932243619
105,AustraliaTourism,tsdiff-2.0,C,0.06942293781724401,0.0023170705794008342
106,AustraliaTourism,tsdiff-2.0,M,0.1648131749972288,0.0022223604809410115
107,AustraliaTourism,tsdiff-2.0,F,0.10094990478410923,0.0006753996063046004
108,AustraliaTourism,hyacinth-1,C,0.01827483343938095,0.0023794749636783363
109,AustraliaTourism,hyacinth-1,M,0.03136704091297121,0.001472756073149107
110,AustraliaTourism,hyacinth-1,F,0.0191970254459538,0.0005626560383188911
111,AustraliaTourism,hyacinth-8,C,0.019307176538373164,0.0032922830258067903
112,AustraliaTourism,hyacinth-8,M,0.03570139264265709,0.002691627297681452
113,AustraliaTourism,hyacinth-8,F,0.019342060653055465,0.0010234727037539127
114,AustraliaTourism,hyacinth-16,C,0.020808593160512527,0.0029685684751631102
115,AustraliaTourism,hyacinth-16,M,0.0430302038909058,0.005098695454394657
116,AustraliaTourism,hyacinth-16,F,0.018539780931595768,0.0006631455012569132
117,AustraliaTourism,hyacinth-32,C,0.023336200834231904,0.0016302261839000484
118,AustraliaTourism,hyacinth-32,M,0.06111319530766692,0.01184026736469967
119,AustraliaTourism,hyacinth-32,F,0.022291973679370754,0.0031953013703770344
120,PanamaEnergy,timegan,C,0.47311989660668363,0.000729245775765067
121,PanamaEnergy,timegan,M,0.4690884317805442,0.002534184263486055
122,PanamaEnergy,timegan,F,0.45101964701500874,0.0005050871542585823
123,PanamaEnergy,timeweaver,C,0.28895852635700053,0.0021707020812702675
124,PanamaEnergy,timeweaver,M,0.26717168952394954,0.02973791420179463
125,PanamaEnergy,timeweaver,F,0.32545580203266633,0.021697863699553333
126,PanamaEnergy,tsdiff-0.0,C,0.39782238001875914,0.005761957657771522
127,PanamaEnergy,tsdiff-0.0,M,0.3127462438997787,0.03992433358336938
128,PanamaEnergy,tsdiff-0.0,F,0.06367903212381025,0.0008119879648580898
129,PanamaEnergy,tsdiff-0.5,C,0.4252911083945895,0.003651001283013467
130,PanamaEnergy,tsdiff-0.5,M,0.35812275968996926,0.015132853537732518
131,PanamaEnergy,tsdiff-0.5,F,0.09300074686077488,0.000610505442595805
132,PanamaEnergy,tsdiff-1.0,C,0.4444120545401951,0.002031853869478869
133,PanamaEnergy,tsdiff-1.0,M,0.39605263387625306,0.005398161116066348
134,PanamaEnergy,tsdiff-1.0,F,0.06553590609704629,0.0005150750786738024
135,PanamaEnergy,tsdiff-2.0,C,0.36805971091588335,0.0020166993334695517
136,PanamaEnergy,tsdiff-2.0,M,0.4072902414535588,0.01696781844413594
137,PanamaEnergy,tsdiff-2.0,F,0.05352987394800549,0.0004294300464315288
138,PanamaEnergy,hyacinth-1,C,0.29187456074301754,0.00856467231350173
139,PanamaEnergy,hyacinth-1,M,0.17776902704223355,0.05082106678013815
140,PanamaEnergy,hyacinth-1,F,0.06224332480847476,0.003418150484298433
141,PanamaEnergy,hyacinth-8,C,0.27872548691781895,0.0048262870073487235
142,PanamaEnergy,hyacinth-8,M,0.22285558272177353,0.04186620700003456
143,PanamaEnergy,hyacinth-8,F,0.04983996963256199,0.005497664564682801
144,PanamaEnergy,hyacinth-16,C,0.2770698060661321,0.006609156377969321
145,PanamaEnergy,hyacinth-16,M,0.2547607661679397,0.045368639202627715
146,PanamaEnergy,hyacinth-16,F,0.05076465079717455,0.003931462981444822
147,PanamaEnergy,hyacinth-32,C,0.29182330405984264,0.007131473377795569
148,PanamaEnergy,hyacinth-32,M,0.2560897509115866,0.027451802907630562
149,PanamaEnergy,hyacinth-32,F,0.03870024314504872,0.002571506499327155
