,Dataset,Encoding,Mask,Avg. MSE,Std. MSE,stride
61,AustraliaTourism,ORD,F,0.16478012673564055,0.01935401739922301,1
62,AustraliaTourism,OHE,F,0.1433408325832725,0.0007367960179333088,1
63,AustraliaTourism,STD,F,0.1526935259970505,0.0071514556945266785,8
64,AustraliaTourism,ORD,F,0.11212196850751013,0.006634557701979706,8
65,AustraliaTourism,OHE,F,0.12199202770256634,0.0005843000787537793,8
66,AustraliaTourism,STD,F,0.15389444793246687,0.0014510323261341114,16
67,AustraliaTourism,ORD,F,0.11900720626160144,0.013292469498622426,16
68,AustraliaTourism,OHE,F,0.11915805610449859,0.0006569953151462537,16
69,AustraliaTourism,STD,F,0.23115226415641507,0.0515964130205465,32
70,AustraliaTourism,ORD,F,0.11119041795841891,0.0035394379411254552,32
71,AustraliaTourism,OHE,F,0.12352614432262739,0.0005206103168896598,32
72,PanamaEnergy,STD,C,1.0284894656547146,0.01419718087355017,1
73,PanamaEnergy,ORD,C,0.5769834647987936,0.013067402470090868,1
74,PanamaEnergy,OHE,C,0.919077043231441,0.004743987631559706,1
75,PanamaEnergy,STD,C,1.0160229322265513,0.0125513147557825,8
76,PanamaEnergy,ORD,C,0.6281149574720047,0.01638942837628341,8
77,PanamaEnergy,OHE,C,0.850482570190751,0.011187444538087246,8
78,PanamaEnergy,STD,C,1.0307181555047786,0.014968898744064625,16
79,PanamaEnergy,ORD,C,0.631266946746082,0.01218985515761451,16
80,PanamaEnergy,OHE,C,0.8872149149890628,0.010987502071350038,16
81,PanamaEnergy,STD,C,1.0726173649651476,0.0215508399118864,32
82,PanamaEnergy,ORD,C,0.6736857482348554,0.009521415917898268,32
83,PanamaEnergy,OHE,C,0.9540221818606376,0.011055662696949615,32
84,PanamaEnergy,STD,M,0.37664472349471795,0.08808400222274425,1
85,PanamaEnergy,ORD,M,0.28817923803250717,0.026227905677818544,1
86,PanamaEnergy,OHE,M,0.6918473875035106,0.03879647731931925,1
87,PanamaEnergy,STD,M,0.511441053110522,0.10198171232257176,8
88,PanamaEnergy,ORD,M,0.3516470544613409,0.01476923083784103,8
89,PanamaEnergy,OHE,M,0.7097567894009207,0.03026908644872491,8
90,PanamaEnergy,STD,M,0.6370609717598529,0.13390199063798805,16
91,PanamaEnergy,ORD,M,0.391137498765472,0.031388913739250554,16
92,PanamaEnergy,OHE,M,0.8083409943071143,0.08810268033928066,16
93,PanamaEnergy,STD,M,0.7201684817496586,0.05018508957346073,32
