,Dataset,Method,Level,Avg. MSE,Std. MSE
35,MetroTraffic,TSDiff-2.0,M,0.8094420590822053,0.04131532937927336
36,MetroTraffic,Pipe-1,M,0.3583589881424663,0.05844715102304144
37,MetroTraffic,Pipe-8,M,0.4387360946235189,0.03668620265447179
38,MetroTraffic,Pipe-16,M,0.43074391713564586,0.05427842768159889
39,MetroTraffic,Pipe-32,M,0.435933380349023,0.03322056800152321
40,MetroTraffic,TSDiff-0,F,0.21531638860923663,0.008217724445432973
41,MetroTraffic,TSDiff-0.5,F,0.20015427924399862,0.009992767091904737
42,MetroTraffic,TSDiff-1.0,F,0.29234285434253565,0.011518916667059804
43,MetroTraffic,TSDiff-2.0,F,0.26691638611367124,0.0058003183194601194
44,MetroTraffic,Pipe-1,F,0.21395856903175497,0.01828665031294822
45,MetroTraffic,Pipe-8,F,0.13988256782408398,0.01064251258431047
46,MetroTraffic,Pipe-16,F,0.13908516571809212,0.0066549260711333815
47,MetroTraffic,Pipe-32,F,0.13718408444974445,0.01025140954837944
48,BeijingAirQuality,TSDiff-0,C,2.3331270041082046,0.013816767179177068
49,BeijingAirQuality,TSDiff-0.5,C,1.762929205723759,0.016572908093293048
50,BeijingAirQuality,TSDiff-1.0,C,2.4439960430586405,0.010090772520697833
51,BeijingAirQuality,TSDiff-2.0,C,2.158015988690553,0.00908191480722175
52,BeijingAirQuality,Pipe-1,C,1.5365547380316784,0.01939142894501427
53,BeijingAirQuality,Pipe-8,C,1.5252118136250228,0.01665554490448532
54,BeijingAirQuality,Pipe-16,C,1.5222966946804786,0.02842984689091054
55,BeijingAirQuality,Pipe-32,C,1.5291936067200311,0.014677391068756061
56,BeijingAirQuality,TSDiff-0,M,1.3418037897016206,0.01128616049494156
57,BeijingAirQuality,TSDiff-0.5,M,1.4223270368618397,0.02531596972066024
58,BeijingAirQuality,TSDiff-1.0,M,2.7800760710801575,0.016130000665579246
59,BeijingAirQuality,TSDiff-2.0,M,1.5143098615167159,0.010430054341200902
60,BeijingAirQuality,Pipe-1,M,1.0691179475215986,0.01054892232798034
61,BeijingAirQuality,Pipe-8,M,1.0272719253613356,0.014683943217272295
62,BeijingAirQuality,Pipe-16,M,1.0366927013750493,0.013708240775811925
63,BeijingAirQuality,Pipe-32,M,1.052202391477776,0.015036654058253851
64,BeijingAirQuality,TSDiff-0,F,0.24355784733675806,0.021966734907281443
65,BeijingAirQuality,TSDiff-0.5,F,0.16171565215755243,0.007371820244476205
66,BeijingAirQuality,TSDiff-1.0,F,0.16688006076731826,0.006950022479170169
67,BeijingAirQuality,TSDiff-2.0,F,0.16405975081269938,0.01157422407145556
68,BeijingAirQuality,Pipe-1,F,0.23647464042025423,0.006446804002417593
69,BeijingAirQuality,Pipe-8,F,0.1111138388257985,0.004585173965938146
70,BeijingAirQuality,Pipe-16,F,0.10845807886625733,0.00534157612514583
71,BeijingAirQuality,Pipe-32,F,0.11221277499451403,0.003948673332474772
72,RossmanSales,TSDiff-0,C,0.7851119578962875,0.007640748052376942
73,RossmanSales,TSDiff-0.5,C,0.8931948622374657,0.021489881239400127
