,Dataset,Method,Level,Avg. xcorrD,Std. xcorrD
62,BeijingAirQuality,timegan,F,0.18147316341632336,0.006472311352584844
63,BeijingAirQuality,timeweaver,C,0.15584499931076248,0.0019147046185929715
64,BeijingAirQuality,timeweaver,M,0.19069118166422513,0.014823795391302514
65,BeijingAirQuality,timeweaver,F,0.2853876388915705,0.032462840764348216
66,BeijingAirQuality,tsdiff-0.0,C,0.2821742961927954,0.004788253421096975
67,BeijingAirQuality,tsdiff-0.0,M,0.19959170393754452,0.00435996361122876
68,BeijingAirQuality,tsdiff-0.0,F,0.04476968579892911,0.0037148787245800483
69,BeijingAirQuality,tsdiff-0.5,C,0.17809038738382932,0.00330127876503676
70,BeijingAirQuality,tsdiff-0.5,M,0.18730156299024858,0.003273072501916174
71,BeijingAirQuality,tsdiff-0.5,F,0.04695709093430719,0.002122981273349428
72,BeijingAirQuality,tsdiff-1.0,C,0.3100848505885575,0.002286666195886509
73,BeijingAirQuality,tsdiff-1.0,M,0.2279251444689061,0.003991170961807587
74,BeijingAirQuality,tsdiff-1.0,F,0.046243804485563325,0.0011144509194050255
75,BeijingAirQuality,tsdiff-2.0,C,0.28884490775176613,0.005137796386888885
76,BeijingAirQuality,tsdiff-2.0,M,0.3239704486032605,0.007890172341121784
77,BeijingAirQuality,tsdiff-2.0,F,0.043251976965682594,0.0023617307085435023
78,BeijingAirQuality,hyacinth-1,C,0.18840625275932155,0.0052965163045191645
79,BeijingAirQuality,hyacinth-1,M,0.21725029308512891,0.012581784928293203
80,BeijingAirQuality,hyacinth-1,F,0.06415837160618174,0.0018668839617282176
81,BeijingAirQuality,hyacinth-8,C,0.14555357630324933,0.003978413057563856
82,BeijingAirQuality,hyacinth-8,M,0.1762746410462917,0.014567901644696556
83,BeijingAirQuality,hyacinth-8,F,0.036268492484045955,0.002218353641301044
84,BeijingAirQuality,hyacinth-16,C,0.15225027353041357,0.004549320278514054
85,BeijingAirQuality,hyacinth-16,M,0.18205840638697096,0.008107215040616766
86,BeijingAirQuality,hyacinth-16,F,0.03483721785524279,0.0018157447443763147
87,BeijingAirQuality,hyacinth-32,C,0.16079450904785886,0.0010168141644528944
88,BeijingAirQuality,hyacinth-32,M,0.19542144302516168,0.009577334143023614
89,BeijingAirQuality,hyacinth-32,F,0.035065390163059464,0.0026962941823508823
90,AustraliaTourism,timegan,C,0.0,0.0
91,AustraliaTourism,timegan,M,0.0,0.0
92,AustraliaTourism,timegan,F,0.0,0.0
93,AustraliaTourism,timeweaver,C,0.0,0.0
94,AustraliaTourism,timeweaver,M,0.0,0.0
95,AustraliaTourism,timeweaver,F,0.0,0.0
96,AustraliaTourism,tsdiff-0.0,C,0.0,0.0
97,AustraliaTourism,tsdiff-0.0,M,0.0,0.0
98,AustraliaTourism,tsdiff-0.0,F,0.0,0.0
99,AustraliaTourism,tsdiff-0.5,C,0.0,0.0
100,AustraliaTourism,tsdiff-0.5,M,0.0,0.0
101,AustraliaTourism,tsdiff-0.5,F,0.0,0.0
102,AustraliaTourism,tsdiff-1.0,C,0.0,0.0
103,AustraliaTourism,tsdiff-1.0,M,0.0,0.0
104,AustraliaTourism,tsdiff-1.0,F,0.0,0.0
105,AustraliaTourism,tsdiff-2.0,C,0.0,0.0
106,AustraliaTourism,tsdiff-2.0,M,0.0,0.0
107,AustraliaTourism,tsdiff-2.0,F,0.0,0.0
108,AustraliaTourism,hyacinth-1,C,0.0,0.0
109,AustraliaTourism,hyacinth-1,M,0.0,0.0
110,AustraliaTourism,hyacinth-1,F,0.0,0.0
111,AustraliaTourism,hyacinth-8,C,0.0,0.0
112,AustraliaTourism,hyacinth-8,M,0.0,0.0
113,AustraliaTourism,hyacinth-8,F,0.0,0.0
114,AustraliaTourism,hyacinth-16,C,0.0,0.0
115,AustraliaTourism,hyacinth-16,M,0.0,0.0
116,AustraliaTourism,hyacinth-16,F,0.0,0.0
117,AustraliaTourism,hyacinth-32,C,0.0,0.0
118,AustraliaTourism,hyacinth-32,M,0.0,0.0
119,AustraliaTourism,hyacinth-32,F,0.0,0.0
120,PanamaEnergy,timegan,C,0.4116430270265452,0.0011472843180219284
121,PanamaEnergy,timegan,M,0.5348924833852136,0.00698443529603879
122,PanamaEnergy,timegan,F,0.36643611196777875,0.001208159895944889
123,PanamaEnergy,timeweaver,C,0.1449594734134276,0.004855312351363355
124,PanamaEnergy,timeweaver,M,0.17477487970815808,0.04329005929963188
125,PanamaEnergy,timeweaver,F,0.2489947713166914,0.025042282458716543
126,PanamaEnergy,tsdiff-0.0,C,0.3601706788395043,0.003718632539953194
127,PanamaEnergy,tsdiff-0.0,M,0.3063919232691174,0.011269619544891422
128,PanamaEnergy,tsdiff-0.0,F,0.06743669639232956,0.0004774007537338106
129,PanamaEnergy,tsdiff-0.5,C,0.297670204161121,0.0031991268444651905
130,PanamaEnergy,tsdiff-0.5,M,0.321122154901195,0.020687263786410788
131,PanamaEnergy,tsdiff-0.5,F,0.09868703772568943,0.0005923331573912058
132,PanamaEnergy,tsdiff-1.0,C,0.361713578938318,0.0016787591042925166
133,PanamaEnergy,tsdiff-1.0,M,0.298101778265802,0.003884220918419252
134,PanamaEnergy,tsdiff-1.0,F,0.10427817902260601,0.0005547967866643155
135,PanamaEnergy,tsdiff-2.0,C,0.36194170455726205,0.0024128409058743585
136,PanamaEnergy,tsdiff-2.0,M,0.355777049693969,0.005072244005003953
137,PanamaEnergy,tsdiff-2.0,F,0.07798988820907411,0.0007370604372477614
138,PanamaEnergy,hyacinth-1,C,0.24165209989734734,0.005314524578077213
139,PanamaEnergy,hyacinth-1,M,0.13522452527603368,0.018463374843734337
140,PanamaEnergy,hyacinth-1,F,0.05263139855070505,0.0017667308674524473
141,PanamaEnergy,hyacinth-8,C,0.23178162062402913,0.005628754305213274
142,PanamaEnergy,hyacinth-8,M,0.1698770340681834,0.01822497392695665
143,PanamaEnergy,hyacinth-8,F,0.04620962791760817,0.0032570234182273004
144,PanamaEnergy,hyacinth-16,C,0.2318939203669045,0.0038525024924527325
145,PanamaEnergy,hyacinth-16,M,0.20388370452070773,0.027144924660963077
146,PanamaEnergy,hyacinth-16,F,0.04781368738137598,0.0027983027877039
147,PanamaEnergy,hyacinth-32,C,0.15312298412161335,0.010611736738169578
148,PanamaEnergy,hyacinth-32,M,0.19161644809284456,0.01762540211189286
149,PanamaEnergy,hyacinth-32,F,0.0442300612559061,0.0028355248003234935
